state_accident_id,vehicle_number,body_type
13062148,2,4 DOOR SEDAN
13062148,1,4 DOOR SEDAN
13062562,1,4 DOOR SEDAN
13062562,2,SUBURBAN
13062634,1,4 DOOR SEDAN
13062685,1,4 DOOR SEDAN
13062709,2,4 DOOR SEDAN
13062709,1,4 DOOR SEDAN
13062710,2,SUBURBAN
13062710,1,CONVERTIBLE
13062960,2,2 DOOR SEDAN
13062960,1,4 DOOR SEDAN
13062978,1,DUMP TRUCK
13063234,1,4 DOOR SEDAN
13063237,1,UNKNOWN VEHICLE
13063237,2,4 DOOR SEDAN
13063269,1,PICK-UP TRUCK
13063271,1,SUBURBAN
13063283,1,4 DOOR SEDAN
13063384,1,4 DOOR SEDAN
13063384,2,2 DOOR SEDAN
13063582,1,4 DOOR SEDAN
13063582,2,4 DOOR SEDAN
13064029,1,SUBURBAN
13064975,1,4 DOOR SEDAN
13064975,2,4 DOOR SEDAN
13064976,1,4 DOOR SEDAN
13064978,1,4 DOOR SEDAN
13064979,1,SUBURBAN
13064980,1,PICK-UP TRUCK
13064981,1,4 DOOR SEDAN
13064982,1,2 DOOR SEDAN
13064983,1,4 DOOR SEDAN
13064984,1,TOW TRUCK
13064985,1,4 DOOR SEDAN
13064987,1,4 DOOR SEDAN
13064989,1,4 DOOR SEDAN
13064990,1,4 DOOR SEDAN
13064990,2,4 DOOR SEDAN
13064991,1,4 DOOR SEDAN
13064992,1,4 DOOR SEDAN
13064993,1,4 DOOR SEDAN
13065008,1,2 DOOR SEDAN
13065008,2,SUBURBAN
13065016,1,SUBURBAN
13065016,2,PICK-UP TRUCK
13065016,3,PICK-UP TRUCK
13065102,2,4 DOOR SEDAN
13065102,1,4 DOOR SEDAN
13065229,1,4 DOOR SEDAN
13065229,2,4 DOOR SEDAN
13065403,1,2 DOOR SEDAN
13065403,2,SUBURBAN
13065403,3,4 DOOR SEDAN
13065442,1,SUBURBAN
13065442,2,2 DOOR SEDAN
13065451,1,4 DOOR SEDAN
13065451,2,4 DOOR SEDAN
13065577,2,SUBURBAN
13065577,1,PICK-UP TRUCK
