,CRN,STREET_NAME
149776,2019051312,7TH ST
149882,2019085408,CLAUDE LORD BL
149883,2019085408,CLAUDE LORD BL
149884,2019085408,NORWEGIAN ST
149895,2019056197,BETHLEHEM PK
149896,2019056197,LINDENWOLD TE
149897,2019056197,LINDENWOLD AV
149900,2019124132,TOWNSHIP LINE RD
149901,2019124132,FORREST AV
149935,2019050877,BALTIMORE AV
149936,2019050877,49TH ST
149937,2019050877,CATHARINE ST
149954,2019070415,TYROL BL
149958,2019077424,S 25TH ST
149986,2019060862,BUFFALO RD
150005,2019057579,UPSAL ST
150006,2019057579,RODNEY ST
150017,2019132037,WALMART SUPERCENTER LT
150033,2019091336,Z H CONFAIR MEMORIAL HW
150132,2019060312,CHADDS FORD RD
150179,2019050997,FISHER AV
150180,2019050997,OGONTZ AV
150195,2019044333,WILLIAM PENN HW
150196,2019044333,RAMP A RD
150212,2020018777,I ST
150213,2020018777,E LUZERNE ST
150220,2019122771,WILLIAM PENN HW
150222,2019126437,POTTSVILLE PK
150228,2019099624,STRASBURG RD
150268,2019060376,GEORGE ST
150271,2019071660,GEORGE AV
150294,2019109995,LOWER RD
150295,2019109995,GODSHALL RD
150299,2020016029,SACKETT ST
150300,2020016029,FANSHAWE ST
150329,2019097850,STILLMEADOW LN
150344,2019070522,LOCUST LN
150345,2019070522,ESHELMAN MILL RD
150376,2019091349,SR 0147 SH
150421,2019084505,PENINSULA DR
150443,2019035042,JACKSON AV
150450,2019029515,SR 0054 SH
150451,2019029515,BRENNANS FARM RD
150452,2019029515,LOCUST GAP HW
150499,2019134576,ISLAND AV
150500,2019134576,ISLAND AV
150501,2019134576,ISLAND AV
150502,2019134576,ISLAND AV
150503,2019134576,BARTRAM AV
150504,2019134576,BARTRAM AV
150505,2019082952,ATLANTIC RD
150506,2019082952,ATLANTIC LAKE RD
150526,2019051091,PERRY HW
150527,2019051091,KRIDER RD
150528,2019051091,BAILEY RD
150548,2019028478,ALLENTOWN BL
150549,2019028478,COON CREEK RD
150606,2019097933,HOLDEN BROOK RD
150614,2019112331,WILLOW ST
150615,2019112331,DIAMOND ST
150689,2019067070,OLD POST RD
150726,2019077942,EISENHOWER DR
150751,2019069291,SR 1006 HW
150768,2019035840,
150769,2019035840,EIGHTH ST
150989,2019105496,CHRISTOPHER COLUMBUS BL
151003,2019073567,NORTHWOOD AV
151004,2019073567,CORRIERE RD
151035,2019093077,LEBANON RD
151036,2019093077,LEBANON CHURCH RD
151037,2019093077,LEBANON CHURCH RD
151048,2019053663,WYOMING AV
151049,2019053663,THIRD ST
151060,2019007499,MARY ST
151159,2019064639,WENTLINGS SCHOOLHOUSE RD
151209,2019051486,CARSON HILL RD
151219,2019073104,SPRINGVIEW DR
