CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
91198429,1,1,Y,M,25,G,G,S,-,W,N,-,3,-,-,"- ",,,G,-,0,1,B,2016,YAMA,C,02,,W,,-,-,2020
91198429,2,1,N,M,26,A,-,S,L,G,Y,-,3,-,-,"- ",,,G,-,0,0,H,2019,TOYT,A,01,,W,,-,-,2020
91215605,1,1,Y,M,62,A,-,N,-,W,Y,-,3,-,-,"- ",,,H,-,0,1,B,2006,HD,C,02,,W,,-,-,2020
91215605,2,1,N,M,57,A,-,N,M,G,Y,-,3,-,-,"- ",,,H,-,0,0,A,2018,MITS,A,07,,W,,-,-,2020
6577679,1,1,N,F,30,A,-,W,L,G,Y,-,3,-,,25,22350,,A,-,0,2,B,2008,LEXUS,A,07,,W,,-,-,2014
6577679,2,1,Y,M,40,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,1996,TOYOTA,D,22,,W,,-,-,2014
6577679,3,1,N,M,27,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,2,A,2003,FORD,D,22,,H,,-,-,2014
9303615,1,1,Y,F,61,A,-,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2006,-,A,01,,A,,-,-,2021
9303615,2,1,N,M,64,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2014,-,A,01,,A,,-,-,2021
9303615,3,1,N,F,64,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,A,2019,-,-,,,H,,-,-,2021
91295435,1,1,Y,M,31,G,G,E,M,G,N,-,3,-,-,"- ",,,N,-,0,2,R,2002,GMC,A,07,,B,,-,-,2020
91295435,2,1,N,M,34,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,1995,TOYT,D,22,,H,,-,-,2020
94407171,1,1,Y,M,36,B,-,N,L,G,Y,-,3,-,,31,22107,,A,-,0,1,M,2001,MAZD,A,01,,H,,-,-,2024
6603966,1,1,N,M,21,A,-,S,P,W,Y,-,3,-,-,"- ",,,-,-,0,1,B,1995,KAWASAKI,C,02,,W,,-,-,2014
6603966,2,1,N,M,21,A,-,N,M,G,Y,-,3,-,-,"- ",,,-,-,0,1,F,2013,BMW,A,01,,,,-,-,2014
6606009,1,1,Y,M,28,A,E,S,P,W,Y,-,3,-,,25,22350,,A,-,1,0,B,2007,"DUCATI (MOTORCYCLE)",C,02,,H,,-,-,2014
6606009,2,3,N,-,998,H,H,S,-,-,O,-,3,-,-,"- ",,,N,-,0,0,O,1988,TOYOTA,A,07,,,,-,-,2014
6606343,1,1,Y,F,38,A,-,E,L,G,Y,-,-,-,-,"- ",,,N,-,0,2,E,2007,TOYOTA,A,01,,H,,-,-,2014
