crash_id,veh_num,make,model,body_type
201901022811,3,2003 CHEV,SE4,Pickup
201901022846,1,1999 FORD,EC1,Van/Mini-Van
201901022846,2,2014 CHRY,TNC,Van/Mini-Van
201901022499,2,2017 KIA ,SOL,Passenger
201901022572,1,2017 CHEV,EQL,SUV
201901022575,1,2002 HOND,VEX,SUV
201901022776,2,2004 FORD,F45,Pickup
201901023190,1,2007 GMC ,ACA,SUV
201901023190,3,2007 CHEV,CLD,Pickup
201901022835,1,2001 FORD,EXP,SUV
201901022910,2,2004 CHEV,EE2,Van/Mini-Van
201901023190,2,2010 CADI,CTS,Passenger
201901022898,1,2016 CADI,SRX,SUV
201901024795,1,2014 FORD,FOC,Passenger
201901022910,1,2011 FORD,TAU,Passenger
201901022929,1,2013 KIA ,SOL,SUV
201901023289,1,2011 GMC ,ACA,SUV
201901025195,2,(UNK) FORD,TAU,Passenger
201901025278,1,1999 PONT,GTP,Passenger
201901023449,2,2005 FORD,FOC,Passenger
201901023449,3,2014 FORD,FOC,Van/Mini-Van
201901023601,1,2001 JEEP,GCH,Passenger
201901025316,2,2004 CADI,ESL,Pickup
201901023336,2,2009 MAZD,MZ3,Passenger
201901023336,1,1998 MERC,MTN,Passenger
201901025469,1,2012 HYUN,SON,Passenger
201901023449,1,2011 CADI,SRX,SUV
201901023581,1,2009 TOYT,CAM,Passenger
201901023730,1,2010 HYUN,SON,Passenger
201901025591,1,2016 MAZD,M6 ,Passenger
201901023581,2,2015 TOYT,CAM,Passenger
201901023730,2,2005 INFI,G35,Passenger
201901023892,1,2007 CHEV,ILS,Passenger
201901023897,1,2015 TOYT,COA,Passenger
201901023899,1,2017 FORD,XPL,SUV
201901023899,2,2018 NISS,RGE,SUV
201901023938,2,2018 HYUN,ELN,Passenger
201901023953,1,2010 DODG,CVN,Van/Mini-Van
201901023897,2,2017 GMC ,ACA,SUV
201901023953,2,2001 HOND,AEX,Passenger
201901023930,2,2013 VOLV,S70,Tractor With Semi-Trailer
201901023938,1,2013 FORD,F25,Pickup
201901024179,1,2014 GMC ,ACA,Passenger
201901026143,2,1997 FORD,ESC,Passenger
201901024290,1,2005 DODG,RAM,Pickup
201901026161,1,(UNK) UNKN,(UNK),Unknown
201901026177,1,2003 TOYT,CAM,Passenger
201901024179,2,2017 NISS,VRS,Passenger
201901024435,1,2005 CHEV,IMP,Passenger
201901024386,1,2017 HOND,CIV,Passenger
201901024435,2,2009 CHEV,CBT,Passenger
201901024386,2,2008 MERZ,C30,Passenger
201901026339,2,2011 FRHT,TK,Tractor With Semi-Trailer
201901024613,1,2006 CHEV,MAL,Passenger
201901024708,1,2005 VOLK,TRG,Passenger
201901026420,1,2016 TOYT,CAM,Other
201901026492,2,2001 CHEV,ILS,Passenger
201901024769,1,2010 DODG,JNY,Passenger
201901024843,2,2008 CHEV,MAL,Passenger
201901024922,1,2011 CHEV,IMP,Passenger
201901024843,1,2014 NISS,NV,Van/Mini-Van
201901025121,2,2019 FRHT,TK ,Tractor With Semi-Trailer
201901024922,3,2008 CHEV,(UNK),Pickup
201901024922,4,2016 JEEP,WRG,SUV
201901024769,2,2002 CHEV,MAL,Passenger
201901025148,1,2013 NISS,RGE,SUV
201901025117,1,2011 CHEV,IMP,Passenger
201901024922,2,2004 FORD,TSE,Passenger
201901024956,2,2008 CADI,STS,Passenger
201901025195,1,(UNK) HOND,(UNK),Passenger
201901026829,3,2015 FORD,(UNK),Pickup
201901026829,4,2008 FORD,ECP,Passenger
201901025473,2,2014 VOLK,JET,Passenger
201901025069,1,2016 FORD,FUS,Passenger
201901026915,2,2017 GMC ,TER,SUV
201901026915,3,2009 CHRY,TNC,Van/Mini-Van
201901025121,1,2008 MERC,MLN,Passenger
201901025589,1,2001 TOYT,CAM,Passenger
201901025608,1,2016 TOYT,SNA,Passenger
201901025589,2,2007 PONT,VIB,Passenger
201901025591,2,2011 GMC ,TK ,Pickup
201901025608,2,2008 HYUN,ACC,Passenger
201901024956,1,1998 CHEV,BL2,SUV
201901027183,1,2012 NISS,SEN,Passenger
201901025316,1,2009 AUDI,AA6,Passenger
201901025753,2,2004 CADI,SRX,SUV
201901025473,1,2005 HOND,ACC,Passenger
201901025650,1,2004 MITS,END,SUV
201901025706,2,2012 HOND,CIV,Passenger
201901025753,1,2008 FORD,EC1,Pickup
201901025706,1,2015 TOYT,RAV,SUV
201901025148,2,2016 HOND,CRV,SUV
201901025148,3,2014 CHEV,EQS,SUV
201901025588,2,2016 DODG,DAR,Passenger
201901026026,1,2017 JAGU,(UNK),SUV
201901026124,1,2017 NISS,MAX,Passenger
201901026047,1,(UNK) UNKN,(UNK),Unknown
201901026312,2,2011 INTL,(UNK),Other
201901026403,2,2013 NISS,RGE,SUV
201901026420,2,2003 TOYT,4RS,SUV
201901026216,1,(UNK) BUIC,LES,Unknown
201901027569,1,(UNK) MERZ,(UNK),Passenger
201901025469,2,2007 DODG,CHA,Passenger
201901026403,1,2010 LINC,MKZ,Passenger
201901025588,1,2015 LINC,MKX,SUV
201901026339,1,2018 (UNK),(UNK),Truck Single Unit
201901026143,3,2004 HYUN,ELN,Passenger
201901026220,1,2011 LEXS,E35,Passenger
201901026630,1,(UNK) FORD,(UNK),Van/Mini-Van
201901026805,1,2007 GMC ,ENV,SUV
201901026811,2,2016 DODG,RAM,Pickup
201901027970,1,2001 JEEP,CHK,SUV
201901026829,1,2005 ACUR,TSX,Passenger
201901026833,1,2013 DODG,CVN,Van/Mini-Van
201901026915,1,2012 DODG,(UNK),Pickup
201901026727,1,2009 HOND,ACC,Passenger
201901026727,2,2015 KIA ,OPT,Passenger
201901026841,1,2004 VOLV,S40,Passenger
201901026805,2,2006 FRHT,COE,Tractor With Semi-Trailer
201901026811,1,2005 DODG,CVN,Van/Mini-Van
201901026143,1,1997 GMC ,(UNK),Van/Mini-Van
201901026312,1,2007 FORD,ECP,Passenger
201901026468,1,1998 (UNK),(UNK),Tractor With Semi-Trailer
201901026468,2,2005 MAZD,MZ3,Passenger
201901028852,1,2015 CHEV,SLV,Pickup
201901026492,1,2010 KIA ,SED,Van/Mini-Van
201901029091,3,2007 HOND,CRV,Passenger
201901029180,1,2019 TOYT,CAM,Passenger
201901029180,4,2007 TOYT,YAR,Passenger
201901029192,1,1998 VOLK,(UNK),Passenger
201901027835,1,2009 TOYT,CAM,Passenger
201901027835,2,2001 FORD,FOC,Passenger
201901029414,1,2001 CHEV,BL2,Passenger
201901027835,4,2009 MAZD,CX9,SUV
201901026829,2,2012 CHEV,MAL,Passenger
201901027983,1,(UNK) UNKN,(UNK),Unknown
201901028426,1,2000 HOND,CEX,Passenger
201901028091,2,2009 HYUN,SON,Passenger
201901028464,1,2016 CHEV,SLV,Pickup
201901028472,1,(UNK) UNKN,(UNK),Passenger
201901028472,2,2004 OLDS,BVD,SUV
201901027797,1,2012 DODG,RAM,Pickup
201901027835,3,2001 MITS,MON,SUV
201901028593,1,2000 HOND,ACC,Passenger
201901028747,2,2018 AUDI,Q7 ,SUV
201901030640,1,2014 NISS,RGE,SUV
201901027905,1,2017 (UNK),(UNK),Truck Single Unit
201901028091,1,2004 BMW ,32I,Passenger
201901028852,2,2005 STRN,VUE,Passenger
201901028937,1,(UNK) UNKN,(UNK),Unknown
201901030779,1,2003 CHEV,IMP,Passenger
201901029091,2,2018 HOND,CRV,SUV
201901028426,2,2012 TOYT,PRI,Passenger
201901029414,2,2000 FORD,FOC,Passenger
201901029091,1,1997 BUIC,LES,Passenger
201901029180,3,2008 TOYT,CAM,Passenger
201901029366,2,2007 FORD,XPL,Passenger
201901029356,2,2003 FORD,F15,Passenger
201901029312,1,2011 TOYT,RAV,SUV
201901029312,2,2002 TOYT,COA,Passenger
201901029397,2,2016 FORD,F25,Pickup
201901029366,1,(UNK) UNKN,(UNK),Passenger
201901031223,1,2000 VOLK,JET,Passenger
201901031223,2,2010 TOYT,SQA,SUV
201901029550,1,2018 AUDI,Q7 ,SUV
201901029574,1,2003 FORD,ECL,Van/Mini-Van
201901029587,2,2009 KIA ,OPT,Passenger
201901031415,2,2018 DODG,RAM,Other Vehicle With Trailer
201901031448,1,2015 ISU ,UNK,Truck Single Unit
201901029180,2,2018 HYUN,SON,Passenger
201901029973,1,2008 CHEV,AVO,Passenger
201901029670,1,2004 DODG,DLM,SUV
201901029718,1,2006 SUBA,IMP,Passenger
201901029746,1,2012 HYUN,SON,Passenger
201901030302,1,2017 MINI,(UNK),Passenger
201901030437,1,2000 MERZ,E42,Passenger
201901031633,1,2014 NISS,MUR,Passenger
201901029397,1,2011 JEP ,(UNK),Passenger
201901029973,2,1997 DODG,RAM,Pickup
201901030139,1,2012 (UNK),(UNK),Bus over 15 seats
201901030748,2,2007 PONT,G6 ,Passenger
201901030302,2,2016 TOYT,YAR,Passenger
201901030304,2,2000 CHEV,A2E,Van/Mini-Van
201901030437,2,2008 NFLY,UNK,Bus over 15 seats
201901030640,2,1997 JEEP,GCH,SUV
201901030228,1,2013 FRHT,TK ,Tractor With Semi-Trailer
201901030228,2,2015 CHEV,IMP,Passenger
201901030615,1,2004 FORD,EC2,Unknown
201901030985,1,2009 TOYT,YAR,Passenger
201901030607,1,2016 NISS,(UNK),Passenger
